Tender ID,Product Code,Product,Category,Product Description,Secondary Description,Tender Start,Tender End,Delivery Start,Delivery End,Case Size,Unit Size,Origin,Sales Packaging,Storage,Tender Comment,Trait
T2025-201,P068,Coffee,Drinks,Tender for Coffee,Board simply at land.,2025-04-10,2025-04-20,2025-04-25,2025-05-10,14 kg,3 pack,Angola,Crate,Frozen,Seek establish product such. Crime word especially hundred business. Participant spend cost night.,Imported
T2025-202,P043,Conditioner,Health & Beauty,Tender for Conditioner,Run herself often see himself.,2025-04-13,2025-04-23,2025-04-28,2025-05-13,10 kg,2 pack,Greece,Box,Chilled,Trial chance message city through sing several. Occur Mr garden peace start education.,Value
T2025-203,P010,Oranges,Fruits & Vegetables,Tender for Oranges,Vote to head thing rock clearly.,2025-03-25,2025-04-04,2025-04-09,2025-04-24,13 kg,2 pack,Burkina Faso,Box,Chilled,Artist perhaps third top. Sell food whole tend town clearly plant.,Value
T2025-204,P045,Deodorant,Health & Beauty,Tender for Deodorant,Point task recognize.,2025-03-28,2025-04-07,2025-04-12,2025-04-27,6 kg,2 pack,Estonia,Pallet,Ambient,Anything toward program contain. View owner after range.,Organic
T2025-205,P046,Moisturizer,Health & Beauty,Tender for Moisturizer,War follow add economy source.,2025-04-04,2025-04-14,2025-04-19,2025-05-04,16 kg,3 pack,Costa Rica,Crate,Chilled,Whom let prepare pay. Stage collection decade reduce. Add page idea occur weight knowledge and.,Premium
T2025-206,P020,Pepperoni,Deli & Chilled Meats,Tender for Pepperoni,Present agreement wonder reach after another American.,2025-04-14,2025-04-24,2025-04-29,2025-05-14,18 kg,3 pack,Bosnia and Herzegovina,Box,Chilled,Ball cultural hand power color. Guy write key law tell business total.,Value
T2025-207,P042,Shampoo,Health & Beauty,Tender for Shampoo,Thousand develop foot unit.,2025-03-19,2025-03-29,2025-04-03,2025-04-18,6 kg,4 pack,Cambodia,Pallet,Ambient,Large unit establish third.,Imported
T2025-208,P006,Tomatoes,Fruits & Vegetables,Tender for Tomatoes,Future section half door positive participant wall both.,2025-03-27,2025-04-06,2025-04-11,2025-04-26,20 kg,1 pack,Somalia,Pallet,Frozen,Finally hope manager lot dream mouth. Voice billion view painting fear professional news.,Value
T2025-209,P023,Yogurt,"Dairy, Eggs & Fridge",Tender for Yogurt,Movement say piece point somebody hand try.,2025-04-13,2025-04-23,2025-04-28,2025-05-13,6 kg,1 pack,Micronesia,Crate,Chilled,Where address tonight everything. Reveal right how age.,Premium
T2025-210,P059,Frozen Pies,Freezer,Tender for Frozen Pies,Show this buy large drop.,2025-03-21,2025-03-31,2025-04-05,2025-04-20,8 kg,2 pack,Equatorial Guinea,Pallet,Frozen,Television teacher although mission west. Not agree six look bag range.,Premium
T2025-211,P002,Bananas,Fruits & Vegetables,Tender for Bananas,Today old strategy break leave population last.,2025-03-28,2025-04-07,2025-04-12,2025-04-27,7 kg,2 pack,Togo,Pallet,Ambient,Cut indicate change Republican place. Leg every discussion almost summer recent.,Imported
T2025-212,P049,Pain Relievers,Health & Beauty,Tender for Pain Relievers,Seem surface Republican way pick major.,2025-04-10,2025-04-20,2025-04-25,2025-05-10,8 kg,5 pack,Armenia,Box,Chilled,Truth over us adult born. Very Mr one always career happy. Live party take next vote cover life.,Imported
T2025-213,P043,Conditioner,Health & Beauty,Tender for Conditioner,Agency same listen turn.,2025-03-26,2025-04-05,2025-04-10,2025-04-25,9 kg,2 pack,Egypt,Pallet,Frozen,Republican get magazine. Turn deal list seat.,Premium
T2025-214,P013,Roast Chicken,Deli & Chilled Meats,Tender for Roast Chicken,Assume edge stuff.,2025-04-10,2025-04-20,2025-04-25,2025-05-10,14 kg,2 pack,France,Pallet,Chilled,Hold include ahead among including sing modern.,Imported
T2025-215,P025,Eggs,"Dairy, Eggs & Fridge",Tender for Eggs,Recognize friend goal impact.,2025-03-31,2025-04-10,2025-04-15,2025-04-30,14 kg,1 pack,Cambodia,Pallet,Ambient,Ball finally fear across man mind. Machine east note house.,Value
T2025-216,P049,Pain Relievers,Health & Beauty,Tender for Pain Relievers,Glass you send travel could strategy.,2025-04-11,2025-04-21,2025-04-26,2025-05-11,15 kg,4 pack,Sao Tome and Principe,Crate,Frozen,Fly where thought risk. Republican this at check environmental dark.,Imported
T2025-217,P004,Spinach,Fruits & Vegetables,Tender for Spinach,Try line far those admit.,2025-03-29,2025-04-08,2025-04-13,2025-04-28,6 kg,5 pack,Belize,Box,Frozen,Certain forget network cause.,Premium
T2025-218,P020,Pepperoni,Deli & Chilled Meats,Tender for Pepperoni,Opportunity course research represent.,2025-03-31,2025-04-10,2025-04-15,2025-04-30,17 kg,2 pack,Belgium,Pallet,Ambient,Write how natural. Safe speak financial.,Value
T2025-219,P032,Pasta,Pantry,Tender for Pasta,Network arm trip.,2025-04-09,2025-04-19,2025-04-24,2025-05-09,12 kg,4 pack,Martinique,Box,Chilled,Different traditional administration realize media way. Way two anything.,Premium
T2025-220,P015,Prosciutto,Deli & Chilled Meats,Tender for Prosciutto,Despite response opportunity body.,2025-04-13,2025-04-23,2025-04-28,2025-05-13,17 kg,1 pack,Estonia,Crate,Frozen,Manage avoid cell shake. Even thank speak development rest.,Imported
T2025-221,P053,Pizza,Freezer,Tender for Pizza,Four family world.,2025-04-12,2025-04-22,2025-04-27,2025-05-12,16 kg,2 pack,Benin,Box,Chilled,Threat interview firm trip station produce. Professor thing control me team rule onto.,Imported
T2025-222,P050,First Aid Kit,Health & Beauty,Tender for First Aid Kit,Home increase page at concern.,2025-03-20,2025-03-30,2025-04-04,2025-04-19,7 kg,5 pack,Algeria,Pallet,Ambient,Pattern people possible. Hotel around his outside force capital eat remain.,Organic
T2025-223,P032,Pasta,Pantry,Tender for Pasta,Close question power state like.,2025-04-15,2025-04-25,2025-04-30,2025-05-15,12 kg,3 pack,United States Virgin Islands,Crate,Frozen,Watch person foot last husband woman care.,Value
T2025-224,P066,Iced Tea,Drinks,Tender for Iced Tea,It item page anything.,2025-04-16,2025-04-26,2025-05-01,2025-05-16,11 kg,2 pack,Saint Pierre and Miquelon,Pallet,Frozen,Me radio international go hold meet day. Player rule black final apply. Thus Mrs me.,Premium
T2025-225,P014,Turkey Breast,Deli & Chilled Meats,Tender for Turkey Breast,Six camera bit practice car inside thought.,2025-03-25,2025-04-04,2025-04-09,2025-04-24,10 kg,5 pack,Seychelles,Pallet,Frozen,Stage name though. Wide include some before.,Imported
T2025-226,P059,Frozen Pies,Freezer,Tender for Frozen Pies,Better matter physical avoid.,2025-03-31,2025-04-10,2025-04-15,2025-04-30,8 kg,2 pack,Montenegro,Box,Ambient,Yard modern key international seat. From recent behavior how fact.,Imported
T2025-227,P026,Cream,"Dairy, Eggs & Fridge",Tender for Cream,Offer area international organization.,2025-04-15,2025-04-25,2025-04-30,2025-05-15,20 kg,2 pack,Mozambique,Pallet,Frozen,"Natural reach reality ask cup.
Night season nice me ready. Campaign yourself final player.",Imported
T2025-228,P034,Rice,Pantry,Tender for Rice,Doctor they reach lot through do reason.,2025-04-03,2025-04-13,2025-04-18,2025-05-03,19 kg,2 pack,Sierra Leone,Box,Chilled,Wrong avoid west measure anyone box such. Personal who commercial claim without situation our.,Imported
T2025-229,P008,Lettuce,Fruits & Vegetables,Tender for Lettuce,Physical look the hard girl.,2025-04-09,2025-04-19,2025-04-24,2025-05-09,15 kg,3 pack,Djibouti,Pallet,Frozen,Magazine later while money rather throw sometimes. Hospital we defense tell sport.,Imported
T2025-230,P057,Frozen Chips,Freezer,Tender for Frozen Chips,Thought help cut capital cost worry.,2025-04-17,2025-04-27,2025-05-02,2025-05-17,11 kg,2 pack,Slovakia (Slovak Republic),Crate,Ambient,Score election manager be. Me yes somebody step. Talk star decision business memory main sure.,Organic
TEN1001,P001,Coffee,Drinks,Premium Ground Coffee,Rich and aromatic coffee beans,2025-01-01,2025-01-15,2025-02-01,2025-08-01,12x500g,500g,Angola,Vacuum-packed bags,Ambient,"Looking for premium quality coffee",Premium
TEN1002,P002,Tea,Drinks,Black Tea Bags,Strong breakfast tea,2025-01-01,2025-01-15,2025-02-01,2025-08-01,10x50bags,50 bags,India,Cardboard box,Ambient,"High quality tea leaves required",Premium
TEN1003,P003,Conditioner,Health & Beauty,Moisturizing Hair Conditioner,For dry and damaged hair,2025-01-05,2025-01-20,2025-02-15,2025-08-15,6x500ml,500ml,Greece,Plastic bottle,Ambient,"Quality hair care products required",Premium
TEN1004,P004,Shampoo,Health & Beauty,Daily Cleansing Shampoo,For normal hair,2025-01-05,2025-01-20,2025-02-15,2025-08-15,6x500ml,500ml,Estonia,Plastic bottle,Ambient,"Must be paraben-free",Value
TEN1005,P005,Oranges,Fruits & Vegetables,Fresh Oranges,Sweet and juicy,2025-01-10,2025-01-20,2025-02-01,2025-04-01,10kg,Loose,Morocco,Cardboard box,Refrigerated,"Looking for consistent quality and size",Imported
TEN1006,P006,Bananas,Fruits & Vegetables,Fresh Bananas,Ripe and ready to eat,2025-01-10,2025-01-20,2025-02-01,2025-04-01,18kg,Loose,Costa Rica,Cardboard box,Refrigerated,"Fair trade preferred",Imported
TEN1007,P007,Pepperoni,Deli & Chilled Meats,Sliced Pepperoni,Italian style,2025-01-15,2025-01-30,2025-02-15,2025-05-15,10x200g,200g,Italy,Vacuum-packed,Refrigerated,"Must meet food safety standards",Premium
TEN1008,P008,Prosciutto,Deli & Chilled Meats,Sliced Prosciutto Ham,Thinly sliced cured ham,2025-01-15,2025-01-30,2025-02-15,2025-05-15,10x100g,100g,Spain,Vacuum-packed,Refrigerated,"Traditional curing methods preferred",Premium
TEN1009,P009,Salami,Deli & Chilled Meats,Sliced Salami,Traditional recipe,2025-01-15,2025-01-30,2025-02-15,2025-05-15,10x150g,150g,Germany,Vacuum-packed,Refrigerated,"Looking for authentic flavor profile",Premium
TEN1010,P010,Yogurt,Dairy Eggs & Fridge,Natural Yogurt,Creamy texture,2025-01-20,2025-02-05,2025-02-20,2025-03-20,6x500g,500g,France,Plastic container,Refrigerated,"Must contain live cultures",Value
TEN1011,P011,Cheese,Dairy Eggs & Fridge,Cheddar Cheese,Mature and full-flavored,2025-01-20,2025-02-05,2025-02-20,2025-08-20,12x250g,250g,UK,Plastic wrapped,Refrigerated,"Looking for traditional cheesemaking methods",Value
TEN1012,P012,Butter,Dairy Eggs & Fridge,Unsalted Butter,Smooth and creamy,2025-01-20,2025-02-05,2025-02-20,2025-05-20,20x250g,250g,Ireland,Foil wrapped,Refrigerated,"Must have consistent quality",Value
TEN1013,P013,Pasta,Pantry,Spaghetti,Dried pasta,2025-01-25,2025-02-10,2025-03-01,2025-09-01,12x500g,500g,Italy,Cardboard box,Ambient,"Looking for traditional methods",Value
TEN1014,P014,Rice,Pantry,Basmati Rice,Long grain aromatic rice,2025-01-25,2025-02-10,2025-03-01,2025-09-01,10x1kg,1kg,India,Paper bag,Ambient,"Must be aged for minimum 1 year",Premium
TEN1015,P015,Flour,Pantry,Plain Flour,All-purpose wheat flour,2025-01-25,2025-02-10,2025-03-01,2025-09-01,10x1.5kg,1.5kg,Local,Paper bag,Ambient,"Consistent quality required",Value
TEN1016,P016,Frozen Peas,Freezer,Garden Peas,Quick-frozen sweet peas,2025-01-30,2025-02-15,2025-03-01,2025-06-01,10x1kg,1kg,UK,Plastic bag,Frozen,"Must be frozen within 2 hours of harvest",Value
TEN1017,P017,Ice Cream,Freezer,Vanilla Ice Cream,Creamy texture,2025-01-30,2025-02-15,2025-03-01,2025-06-01,8x2L,2L,Germany,Cardboard container,Frozen,"Natural ingredients preferred",Premium
TEN1018,P018,Frozen Vegetables,Freezer,Mixed Vegetables,Selection of garden vegetables,2025-01-30,2025-02-15,2025-03-01,2025-06-01,10x1kg,1kg,Belgium,Plastic bag,Frozen,"Quick-freezing process required",Value
TEN1019,P019,Moisturizer,Health & Beauty,Daily Moisturizing Cream,For normal to dry skin,2025-02-01,2025-02-15,2025-03-01,2025-09-01,12x50ml,50ml,France,Plastic jar,Ambient,"Must be dermatologically tested",Premium
TEN1020,P020,Face Masks,Health & Beauty,Clay Face Mask,Deep cleansing,2025-02-01,2025-02-15,2025-03-01,2025-09-01,12x75ml,75ml,Korea,Plastic tube,Ambient,"Natural ingredients preferred",Premium
TEN1021,P021,Pain Relievers,Health & Beauty,Ibuprofen Tablets,Fast-acting pain relief,2025-02-05,2025-02-20,2025-03-15,2025-09-15,24x16tabs,16 tablets,Switzerland,Blister pack,Ambient,"Must meet pharmaceutical standards",Value
TEN1022,P022,Vitamins,Health & Beauty,Multivitamin Tablets,Daily supplement,2025-02-05,2025-02-20,2025-03-15,2025-09-15,12x30tabs,30 tablets,USA,Plastic bottle,Ambient,"Complete vitamin profile required",Premium
TEN1023,P023,First Aid Kits,Health & Beauty,Basic First Aid Kit,Essential medical supplies,2025-02-05,2025-02-20,2025-03-15,2025-09-15,10 kits,1 kit,Germany,Plastic case,Ambient,"Must include instructions for use",Value
TEN1024,P024,Tomatoes,Fruits & Vegetables,Fresh Tomatoes,Vine-ripened,2025-02-10,2025-02-25,2025-03-10,2025-04-10,5kg,Loose,Spain,Cardboard box,Refrigerated,"Looking for consistent ripeness",Organic
TEN1025,P025,Peppers,Fruits & Vegetables,Bell Peppers,Mixed colors,2025-02-10,2025-02-25,2025-03-10,2025-04-10,5kg,Loose,Netherlands,Cardboard box,Refrigerated,"Must be firm and well-colored",Organic
TEN1026,P026,Onions,Fruits & Vegetables,Brown Onions,Firm and dry,2025-02-10,2025-02-25,2025-03-10,2025-06-10,10kg,Loose,Egypt,Mesh bag,Ambient,"Looking for long shelf life",Value
TEN1027,P027,Roast Chicken,Deli & Chilled Meats,Cooked Chicken Breast,Sliced and ready to eat,2025-02-15,2025-03-01,2025-03-15,2025-04-15,10x150g,150g,Poland,Vacuum-packed,Refrigerated,"Must be free from additives",Value
TEN1028,P028,Pâté,Deli & Chilled Meats,Chicken Liver Pâté,Smooth texture,2025-02-15,2025-03-01,2025-03-15,2025-04-15,12x200g,200g,Belgium,Glass jar,Refrigerated,"Traditional recipe preferred",Premium
TEN1029,P029,Charcuterie,Deli & Chilled Meats,Mixed Cold Cuts,Selection of sliced meats,2025-02-15,2025-03-01,2025-03-15,2025-04-15,10x200g,200g,Spain,Vacuum-packed,Refrigerated,"Authentic curing methods required",Premium
TEN1030,P030,Eggs,Dairy Eggs & Fridge,Free-Range Eggs,Large size,2025-02-20,2025-03-05,2025-03-20,2025-04-20,10x12eggs,12 eggs,Local,Cardboard box,Refrigerated,"Must be from free-range hens",Organic
TEN1031,P031,Poultry,Dairy Eggs & Fridge,Whole Chicken,Fresh and cleaned,2025-02-20,2025-03-05,2025-03-20,2025-04-20,10x1.5kg,1.5kg approx,UK,Vacuum-packed,Refrigerated,"Must be from high welfare farms",Premium
TEN1032,P032,Duck Products,Dairy Eggs & Fridge,Duck Breast Fillets,Fresh and trimmed,2025-02-20,2025-03-05,2025-03-20,2025-04-20,10x400g,400g approx,France,Vacuum-packed,Refrigerated,"Free-range preferred",Premium
TEN1033,P033,Supplements,Health & Beauty,Vitamin C Tablets,High strength,2025-02-25,2025-03-10,2025-04-01,2025-10-01,12x60tabs,60 tablets,USA,Plastic bottle,Ambient,"Must be easily absorbable form",Premium
TEN1034,P034,Natural Remedies,Health & Beauty,Echinacea Extract,Immune support,2025-02-25,2025-03-10,2025-04-01,2025-10-01,12x50ml,50ml,Germany,Glass bottle,Ambient,"Organic cultivation preferred",Organic
TEN1035,P035,Spinach,Fruits & Vegetables,Fresh Spinach,Young leaves,2025-03-01,2025-03-15,2025-04-01,2025-05-01,10x250g,250g,Spain,Plastic bag,Refrigerated,"Must be washed and ready to use",Organic
TEN1036,P036,Kale,Fruits & Vegetables,Fresh Kale,Curly variety,2025-03-01,2025-03-15,2025-04-01,2025-05-01,10x200g,200g,Italy,Plastic bag,Refrigerated,"Must be tender and fresh",Organic
TEN1037,P037,Exotic Greens,Fruits & Vegetables,Mixed Salad Leaves,Various lettuce varieties,2025-03-01,2025-03-15,2025-04-01,2025-05-01,12x150g,150g,France,Plastic container,Refrigerated,"Must be pre-washed",Premium
TEN1038,P038,Noodles,Pantry,Egg Noodles,Medium thickness,2025-03-05,2025-03-20,2025-04-15,2025-10-15,20x250g,250g,China,Plastic package,Ambient,"Traditional recipe preferred",Imported
TEN1039,P039,Specialty Grains,Pantry,Quinoa,White variety,2025-03-05,2025-03-20,2025-04-15,2025-10-15,12x500g,500g,Peru,Paper bag,Ambient,"Must be properly cleaned",Premium
TEN1040,P040,Smoked Meats,Deli & Chilled Meats,Smoked Bacon,Dry cured,2025-03-10,2025-03-25,2025-04-10,2025-05-10,15x200g,200g,Denmark,Vacuum-packed,Refrigerated,"Traditional smoking methods required",Premium
